"Year","Amount_Spent_on_Road_Development"
"2005","5630.8999999999996"
"2006","6340.6000000000004"
"2007","6199.1000000000004"
"2008","6036.5"
"2009","6566.6000000000004"
"2010","6482.8999999999996"
"2011","5565"
"2012","5557.5"
"2013","6030"
"2014","7845.6000000000004"
"2015","9067.8999999999996"
"2016","8608.1000000000004"
